final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
iŋziʊ	-	-	-	-	iŋsiʊ	inskɪʊm
ɨnskrie	ɨnskrie	ɛ̃skʁiʁ	iskrivere	inskɾiβiɾ	iŋskɹɨveɹ	inskribɛrɛ
inseɡwire	-	ɑ̃syivʁ	inseɡwire	-	-	insɛkwi
inserire	-	ɛ̃seʁe	inserire	-	iŋsɨɾiɹ	insɛrɛrɛ
iŋzɨɾəzɐʊ	-	ɛ̃sɛʁsjɔ̃	insertsione	inseɾθjon	iŋsɨɾəsɐ̃ʊ̃	insɛrtɪonɛm
insiðjare	-	-	insidjare	-	-	insɪdɪari
inseɲɲa	-	ɛ̃siɲ	inseɲɲa	insiɡnja	iŋsiɡnjɐ	insɪŋnɛ
insiɡne	-	ɛ̃siɲ	insiɲɲe	insiɡne	iŋsiɡnɨ	insɪŋnɛm
inseɲare	ɨnsemna	ɑ̃sɛɲe	inseɲare	enseɲaɾ	eɪŋsinaɹ	insɪŋnarɛ
insinuare	-	ɛ̃sinye	insinuare	insinwaɾ	-	insɪnʊarɛ
esolasjo	-	ɛ̃solasjɔ̃	-	-	-	insolatɪonɛm
insolito	-	ɛ̃solit	insɔlito	insolito	iŋsɔlitʊ	insɔlɪtʊm
insone	-	-	insɔnne	insomne	-	insɔmnɛm
iŋzoŋðɨ	-	-	-	insonte	iŋsoŋtɨ	insɔntɛm
esbeɣde	-	ɛ̃spɛkte	-	inspekθjonaɾ	-	inspɛktarɛ
estaʁ	-	ɛ̃staʁ	-	-	-	instar
instorare	-	ɛ̃stoʁe	instaurare	instaʊɾaɾ	iŋstaʊɾaɹ	instaʊrarɛ
estitye	-	ɛ̃stitye	istituire	institwiɾ	iŋstituiɹ	instɪtʊɛrɛ
iŋstɹɐʊ	-	ɛ̃stʁyksjɔ̃	-	-	iŋstɹusɐ̃ʊ̃	instrʊktɪonɛm
estʁymɑtal	-	ɛ̃stʁymɑ̃tal	-	instɾumental	-	instrumɛntalɛm
instɾuiɾ	-	ɛ̃stʁyiʁ	istruire	instɾuiɾ	-	instrʊɛrɛ
esyʎe	-	ɛ̃syfle	-	-	-	insʊfflarɛ
insular	insular	ɛ̃sylɛʁ	insulare	insulaɾ	iŋsulaɹ	insʊlarɛm
izolat	izolat	izole	izolato	aɪslaðo	izuladʊ	insʊlatʊm
insulso	-	-	insulso	insulso	iŋsuwsʊ	insʊlsʊm
insulto	-	-	insulto	insulto	iŋsuwtʊ	insʊltʊm
insiɾ	-	-	-	insumiɾ	-	insumɛrɛ
esyʁʒe	-	ɛ̃syʁʒe	-	-	-	insʊrɡɛrɛ
indeɡru	inteɡru	ɑ̃tje	intɛro	inteɣɾo	iŋtɨɡɹʊ	ɪntɛɡrʊm
indeɣɾaɾ	-	ɛ̃teɡʁe	inteɡrare	inteɣɾaɾ	-	ɪntɛɡrarɛ
ɨntseletʃune	ɨntseleptʃune	-	intelletsione	intelekθjon	iŋtɨlɛsɐ̃ʊ̃	ɪntɛllɛktɪonɛm
ɨntselep	ɨntselept	ɛ̃tɛlɛkt	intelletto	intelekto	iŋtɨlɛtʊ	ɪntɛllektʊm
iŋðɨliʒiɹ	ɨntseledʒe	-	-	intelixiɾ	iŋtɨliʒiɹ	ɪntɛllɛɡɛrɛ
iŋdeɪmbeʃʤvidadɨ	-	ɛ̃tɑ̃pɛstivite	-	-	iŋteɪmpeʃtividadɨ	ɪntɛmpɛstiwɪtatɛm
etɑβestsf	-	ɛ̃tɑ̃pɛstif	-	intempestiβo	-	ɪntɛmpɛstiwʊm
intentsje	intentsje	ɛ̃tɑ̃sjɔ̃	intentsione	intenθjon	iŋteɪŋsɐ̃ʊ̃	ɪntɛntɪonɛm
indendaɾ	-	-	-	intentaɾ	-	ɪntɛntarɛ
indendo	-	ɑ̃tɑ̃t	intɛnto	intɛnto	iŋteɪŋtʊ	ɪntɛntʊm
inderdʃedere	-	ɛ̃tɛʁsede	intertʃedere	inteɾθeðeɾ	iŋtɨɾəsɨdeɹ	ɪntɛrkedɛrɛ
inderdʃidere	-	-	intertʃidere	-	-	ɪntɛrkɪdɛrɛ
inderɣludere	-	-	interkludere	-	-	ɪntɛrkludɛrɛ
inderzidʃe	interzitʃe	ɛ̃tɛʁdiʁ	interdire	inteɾðeθiɾ	iŋtɨɾədizeɹ	ɪntɛrdikɛrɛ
inderiedʤvo	-	-	interiettivo	-	-	ɪntɛrɪɛktiwʊm
indeɾxeɣθjon	-	ɛ̃tɛʁʒɛksjɔ̃	-	inteɾxekθjon	-	ɪntɛrjɛktɪonɛm
edeʁloɣe	-	ɛ̃tɛʁloke	-	-	-	ɪntɛrlɔkwi
inderlunio	-	-	interlunio	-	-	ɪntɛrlunɪʊm
indeɾmeðjo	-	-	-	inteɾmeðjo	-	ɪntɛrmɛdɪʊm
endɾemedeɾze	-	-	intermettere	entɾemeteɾse	-	ɪntɛrmɪttɛrɛ
eɪŋðɹɨβoɹ	-	ɑ̃tʁəpoze	interpɔrre	entɾeponeɾ	eɪŋtɹɨpoɹ	ɪntɛrponɛrɛ
inderbredabile	-	ɛ̃tɛʁpʁetabl	interpretabile	-	-	ɪntɛrprɛtabɪlɛm
inderbredare	-	-	interpretare	-	-	ɪntɛrprɛtari
ɑðʁəβweðʁ	-	ɑ̃tʁəpwɛ̃dʁ	interpundʒere	-	-	ɪntɛrpʊŋɡɛrɛ
edeʁoβʁ	ɨntreɾupe	ɛ̃tɛʁɔ̃pʁ	interrompere	interumpiɾ	iŋtɨʁumpeɹ	ɪntɛrrʊmpɛrɛ
edeʁypsjo	-	ɛ̃tɛʁypsjɔ̃	interrutsione	interupθjon	iŋtɨʁupsɐ̃ʊ̃	ɪntɛrrʊptɪonɛm
edeʁvɑzjo	-	ɛ̃tɛʁvɑ̃sjɔ̃	-	inteɾβenθjon	iŋtɨɾəveɪŋsɐ̃ʊ̃	ɪntɛrwɛntɪonɛm
eteʁveʁtsʁ	-	ɛ̃tɛʁvɛʁtiʁ	-	inteɾβeɾtiɾ	-	ɪntɛrwɛrtɛrɛ
intestinal	-	-	-	intestinal	-	ɪntɛstinalɛm
eʤmasjo	-	ɛ̃timasjɔ̃	intimatsione	intimaθjon	iŋtimɐsɐ̃ʊ̃	ɪntɪmatɪonɛm
ɨntɔartʃe	ɨntɔartʃe	-	-	-	-	ɪntɔrkwerɛ
edʁeseɣ	-	ɛ̃tʁɛ̃sɛk	-	-	iŋtɹiŋsɨkʊ	ɪntrinsɛkʊm
indɾoðuɣθjon	introduktsie	ɛ̃tʁodyksjɔ̃	introdutsione	intɾoðukθjon	iŋtɹudusɐ̃ʊ̃	ɪntrodʊktɪonɛm
introito	-	ɛ̃tʁɔi	intrɔito	intɾoɪto	eɪŋtɹudʊ	ɪntrɔɪtʊm
iŋðɹɨðeɹ	-	-	-	entɾemeteɾse	iŋtɹumɨteɹ	ɪntromɪttɛrɛ
ɑðʁəʁoβʁ	-	ɑ̃tʁəʁɔ̃pʁ	-	-	-	ɪntrorʊmpɛrɛ
edʁosbeɣsjo	-	ɛ̃tʁɔspɛksjɔ̃	-	-	-	ɪntrospɪkɛrɛ
indwiɾ	-	ɛ̃tyite	-	intwiɾ	-	ɪntʊeri
iŋtuɪtʊ	-	-	-	-	iŋtuɪtʊ	ɪntʊɪtʊm
inulto	-	-	inulto	inulto	-	ɪnʊltʊm
inundatsje	inundatsje	-	-	inundaθjon	inũŋdɐsɐ̃ʊ̃	ɪnʊndatɪonɛm
inondare	-	inɔ̃de	inondare	inundaɾ	inũŋdaɹ	ɪnʊndarɛ
inuzitato	-	-	inuzitato	-	inuzitadʊ	ɪnusɪtatʊm
evalid	-	ɛ̃valid	-	-	-	ɪnwalɪdʊm
inventore	inventor	ɛ̃vɑ̃tœʁ	inventore	imbentoɾ	iŋveɪŋtoɹ	ɪnwɛntorɛm
inventritʃe	-	ɛ̃vɑ̃tʁis	inventritʃe	-	-	ɪnwɛntrikɛm
invertire	-	ɛ̃vɛʁtiʁ	invertire	imbeɾtiɾ	iŋvɨɾəteɹ	ɪnwɛrtɛrɛ
iŋvɨʃʤɡɐzɐʊ	-	-	investiɡatsione	imbestiɣaθjon	iŋvɨʃtiɡɐsɐ̃ʊ̃	ɪnwɛstiɡatɪonɛm
imbestiɣaɾ	-	ɛ̃vɛstiɡe	-	imbestiɣaɾ	-	ɪnwɛstiɡarɛ
ɨnveʃð	ɨnveʃtʲ	ɛ̃vɛstiʁ	investire	imbestiɾ	iŋvɨʃtiɹ	ɪnwɛstirɛ
eveðʁe	-	ɛ̃vetʁe	-	imbeteɾaɾ	-	ɪnwɛtɛrarɛ
iŋvitʊ	-	-	invitto	imbikto	iŋvitʊ	ɪnwɪktʊm
inviʤa	invidje	ɑ̃vi	invidia	embiðja	iŋvidjɐ	ɪnwɪdɪam
invidjos	invidjos	ɑ̃vjø	invidiozo	embiðjoso	iŋvɨʒozʊ	ɪnwɪdɪosʊm
iŋvidʊ	-	-	-	-	iŋvidʊ	ɪnwɪdʊm
ɨnveɡea	ɨnveɡea	-	invidʒilare	imbixilaɾ	-	ɪnwɪɡɪlarɛ
imbitaθjon	invitatsje	-	invitatsione	imbitaθjon	iŋvitɐsɐ̃ʊ̃	ɪnwɪtatɪonɛm
invita	invita	-	invitare	imbitaɾ	iŋvitaɹ	ɪnwitarɛ
ɨnvoalβe	ɨnvɔalbe	-	involdʒere	embolβeɾ	eɪŋvulveɹ	ɪnwɔlwɛrɛ
ðʒokozo	-	-	dʒokozo	-	-	jɔkosʊm
ʒuɡɹɑl	-	-	-	-	ʒuɡɹɑl	jɔkʊlarɛm
eso	ɨns	-	esso	eso	isʊ	ɪpsʊm
ira	-	iʁ	ira	iɾa	iɾɐ	iram
iraɣonʤa	-	-	irakondia	iɾakundja	-	irakʊndɪam
iɾaɣundo	-	-	irakondo	iɾakundo	-	irakʊndʊm
iʁasibl	-	iʁasibl	iraʃibile	iɾasθiβle	-	iraskɪbɪlɛm
iɾadʊ	-	-	irato	-	iɾadʊ	iratʊm
irreɡolare	iɾeɡular	iʁeɡylje	irreɡolare	ireɣulaɾ	iʁɨɡulaɹ	ɪrreɡʊlarɛm
irrekwjeto	-	-	irrekwjeto	-	-	ɪrrɛkwɪetʊm
iriɣaɾ	-	iʁiɡe	irriɡare	iriɣaɾ	-	ɪrrɪɡarɛ
iʁita	iɾita	-	-	iritaɾ	iʁitaɹ	ɪrritarɛ
iroɣaɾ	-	-	irroɡare	iroɣaɾ	-	ɪrrɔɡarɛ
irrompree	-	iʁɔ̃pʁ	irrompere	irumpiɾ	iʁumpeɹ	ɪrrʊmpɛrɛ
est	əst	-	ɛsto	esto	iʃtʊ	ɪstʊm
italiano	italjan	italjɛ̃	italiano	italjano	itɐliɐ̃nʊ	italɪanʊm
ider	-	-	iter	-	-	ɪtɛr
iteratsione	-	iteʁasjɔ̃	iteratsione	iteɾaθjon	itɨɾɐsɐ̃ʊ̃	ɪtɛratɪonɛm
iderare	iteɾa	iteʁe	iterare	iteɾaɾ	itɨɾaɹ	ɪtɛrarɛ
iʤnerario	-	itineʁɛʁ	itinerario	itineɾaɾjo	itinɨɾaɾjʊ	ɪtɪnɛrarɪʊm
ðʒuba	-	-	dʒuba	-	ʒubɐ	jʊbam
ðʒubbato	-	-	dʒubbato	-	-	jʊbatʊm
ʒybilazjo	-	ʒybilasjɔ̃	-	-	-	jubɪlatɪonɛm
ðʒubilare	-	ʒybile	dʒubilare	xuβilaɾ	ʒubilaɹ	jubɪlarɛ
xoɣunʤðad	-	-	dʒokondita	xokundiðad	ʒukũŋdidadɨ	jukʊndɪtatɛm
dʒokondo	-	-	dʒokondo	xokundo	ʒukũŋdʊ	jukʊndʊm
dʒudeo	-	ʒyif	dʒudɛo	xuðio	ʒudeʊ	judaɪʊm
ðʒuʤɣabile	-	-	dʒudikabile	-	-	judɪkabɪlɛm
ðʒuʤɣaʤvo	-	-	dʒudikativo	-	-	judɪkatiwʊm
ʒudeɣətor	ʒudekətor	-	dʒudikatore	xuθɣaðoɾ	ʒuwɡɐdoɹ	judɪkatorɛm
dʒuʤɣadorio	-	-	dʒudikatɔrio	-	-	judɪkatorɪʊm
dʒuʤɣadridʃe	-	-	dʒudikatritʃe	-	-	judɪkatrikɛm
dʒuʤɣado	-	-	dʒudikato	-	-	judɪkatʊm
ðʒuʤðzjale	-	ʒydisjɛl	dʒuditsjale	xuðiθjal	ʒudisiɑl	judɪkɪalɛm
ʒuʤðʃjar	ʒuditʃjar	ʒydisjɛʁ	dʒuditsjario	xuðiθjaɾjo	ʒudisiaɾjʊ	judɪkɪarɪʊm
ʒudedz	ʒudets	-	dʒuditsio	xwiθjo	ʒuizʊ	judɪkɪʊm
ʒuɡɑl	-	ʒyɡal	-	-	ʒuɡɑl	jʊɡalɛm
ʒyʒɛʁ	juɡər	ʒyʒɛʁ	judʒero	-	-	juɡɛrʊm
ʒyɡyle	ʒuŋɡja	ʒyɡyle	dʒuɡulare	ʝuɣulaɾ	-	jʊɡʊlarɛ
ðʒuɡolo	-	-	dʒuɡolo	-	-	jʊɡʊlʊm
ðʒuliano	-	-	dʒuliano	-	-	julɪanʊm
mento	-	ʒymɑ̃	dʒumento	xumɛnto	ʒumeɪŋtʊ	jumɛntʊm
ðʒuntura	-	ʒwɛ̃tyʁ	dʒuntura	xuntuɾa	ʒũŋtuɾɐ	juŋkturam
ðʒunðʒere	-	ʒwɛ̃dʁ	dʒundʒere	xuŋxeɾ	ʒũŋʒiɹ	jʊŋɡɛrɛ
ʒunjor	ʒunjor	ʒynjɔʁ	dʒuniore	xunjoɾ	ʒuniuɹ	junɪorɛm
jenubər	jenupər	ʒənjɛvʁ	dʒinepro	xunipeɾo	ʒunipɨɾʊ	junɪpɛrʊm
ʒuɾəmɨnt	ʒuɾəmɨnt	-	dʒuramento	xuɾamɛnto	ʒuɾɐmeɪŋtʊ	juramɛntʊm
ðʒuraʤvo	-	-	dʒurativo	-	-	juratiwʊm
ʒyʁœʁ	ʒuɾətor	ʒyʁœʁ	dʒuratore	xuɾaðoɾ	ʒuɾɐdoɹ	juratorɛm
ðʒuraðorio	-	-	dʒuratɔrio	-	-	juratorɪʊm
ðʒureɣonsulðo	-	-	dʒurekonsulto	-	-	jurɛkonsʊltʊm
ðʒuriʤɣo	-	-	dʒuridiko	-	-	jurɪdɪkʊm
dʒurisprudende	-	-	dʒurisprudɛnte	-	-	jurɪsprudɛntɛm
dʒurisprudendsa	-	ʒyʁispʁydɑ̃s	dʒurisprudɛntsa	-	-	jurɪsprudɛntɪam
ðʒure	-	-	dʒure	xuɾo	ʒuɾʊ	ɪus
ʒystsfiɣasjo	ʒustifikatsje	ʒystifikasjɔ̃	dʒustifikatsione	xustifikaθjon	ʒuʃtifikɐsɐ̃ʊ̃	justɪfɪkatɪonɛm
xtsfiɣaðoɾ	-	-	dʒustifikatore	xustifikaðoɾ	-	justɪfɪkatorɛm
st	ʒust	ʒyst	dʒusto	xusto	ʒuʃtʊ	justʊm
ðʒovenɣa	ʒunkə	-	dʒovɛnka	-	-	jʊwɛŋkam
ʒunɣ	ʒunk	-	dʒovɛnko	xuβɛnko	ʒuveɪŋkʊ	jʊwɛŋkʊm
xuβendud	-	-	dʒoventu	xuβentud	ʒuveɪŋtudɨ	jʊwɛntutɛm
ðʒovare	-	-	dʒovare	-	-	jʊwarɛ
ʒɐnɛlɐ	-	-	-	-	ʒɐnɛlɐ	janʊam
ɣalendas	-	-	-	kalɛndas	kɐleɪŋdɐʃ	kalɛndas
labjale	-	-	labjale	-	-	labɪalɛm
avalanʃə	avalanʃə	-	valaŋɡa	aβalantʃa	ɐvɐlɐ̃ŋʃɨ	labinam
labɔaɾe	labɔaɾe	labœʁ	lavɔro	laβoɾ	lɐvoɹ	laborɛm
lavoratore	-	labuʁœʁ	lavoratore	laβɾaðoɾ	lɐvɹɐdoɹ	laboratorɛm
laboratorio	-	laboʁatwaʁ	laboratɔrio	laβoɾatoɾjo	lɐbuɾɐtɔɾjʊ	laboratorɪʊm
labuʁe	-	labuʁe	lavorare	laβoɾaɾ	lɐbuɾaɹ	laborarɛ
labbro	-	lɛvʁ	labbro	laβɾo	labɹʊ	labrʊm
laβɾɣa	ləwɾuskə	-	lambruska	laβɾuska	lɐbɹuʃkɐ	labrʊskam
latʃerare	-	laseʁe	latʃerare	laθeɾaɾ	lɐsɨɾaɹ	lakɛrarɛ
lɐzinjɐ	-	-	-	-	lɐsinjɐ	lakɪnɪam
lakrima	lakrimə	laʁm	lakrima	laɣɾima	laɡɹimɐ	lakrɪmam
lakrimatsione	-	-	lakrimatsione	lakɾimaθjon	-	lakrɪmatɪonɛm
lakrimare	ləkrima	laʁmwaje	lakrimare	lakɾimaɾ	lɐkɹimaɹ	lakrɪmarɛ
lakrimoz	ləkrimos	-	lakrimozo	lakɾimoso	lɐkɹimozʊ	lakrɪmosʊm
lətar	ləptar	lɛtje	lattaio	letʃeɾo	leɪteɪɾʊ	laktarɪʊm
laddeo	-	lakte	lattɛo	lakteo	-	laktɛʊm
laktiθinjo	-	-	lattitʃino	laktiθinjo	lɐtisinjʊ	laktɪkinɪʊm
latta	-	lakte	lattare	laktaɾ	-	laktarɛ
lattɾe	-	-	lakustre	lakustɾe	lɐkuʃtɹɨ	lakʊstrɛm
letitsia	-	ljɛs	letitsia	letiθja	-	laɪtɪtɪam
leðo	-	-	liɛto	leðo	ledʊ	laɪtʊm
laiko	-	le	laiko	leɣo	leɪɡʊ	laɪkʊm
lama	-	-	lama	lama	lɐ̃mɐ	lamam
lɐmbeɹ	-	-	lambire	lambeɾ	lɐ̃mbeɹ	lambɛrɛ
lamentare	-	lamɑ̃te	lamentare	lamentaɾ	lɐmeɪŋtaɹ	lamɛntarɛ
lamento	-	-	lamento	lamɛnto	lɐmeɪŋtʊ	lamɛntʊm
lampada	-	lɑ̃p	lampada	lampaɾa	-	lampadɛm
landʃare	-	-	lantʃare	lanθeaɾ	lɐ̃ŋsiaɹ	laŋkɛarɛ
lanθwela	-	-	-	lanθwela	-	laŋkɛɔlam
lɑzje	-	lɑ̃sje	-	lanθeɾo	lɐ̃ŋseɪɾʊ	laŋkɪarɪʊm
linʤɣ	lindik	-	-	-	-	landikam
lɨndʃed	lɨntʃed	lɑ̃ɡid	laŋɡwido	laŋɡiðo	lɐ̃ŋɡwidʊ	laŋɡwɪdʊm
laŋɡwore	liŋɡɔaɾe	lɑ̃ɡœʁ	laŋɡwore	laŋɡwoɾ	lɐ̃ŋɡoɹ	laŋɡworɛm
lanoz	lɨnos	lɛnø	lanozo	lanoso	lɐnozʊ	lanosʊm
landernə	lanternə	-	-	linteɾna	-	lantɛrnam
labideʁ	-	lapidɛʁ	-	-	-	lapɪdarɪʊm
labidadzione	-	lapidasjɔ̃	lapidatsione	-	-	lapɪdatɪonɛm
lapiðaɾ	lepəda	lapide	lapidare	lapiðaɾ	-	lapɪdarɛ
labiʎo	-	-	lapillo	-	-	lapɪllʊm
labide	lespede	-	lapide	-	-	lapɪdɛm
laʁ	-	laʁ	-	laɾðo	-	lardʊm
lɐɾəʒizɐʊ	-	-	-	-	lɐɾəʒisɐ̃ʊ̃	larɡitɪonɛm
larɡ	larɡ	-	larɡo	-	-	larɡʊm
larva	-	-	larva	laɾβa	-	larwam
lazaɲɲa	-	-	lazaɲɲa	-	-	lasanʊm
lasidyd	-	lasityd	-	-	-	lassɪtudɪnɛm
lɐzaɹ	-	-	latʃʃaia	laθaɾ	lɐsaɹ	lassarɛ
la	-	la-	lasso	lasso	-	lassʊm
lɐðɹiʎʊ	-	-	-	laðɾiʎo	lɐdɹiʎʊ	latɛrkʊlʊm
lateritsio	-	-	lateritsio	-	-	latɛrikɪʊm
ladsfondo	latifundiw	-	latifondo	latifundjo	lɐtifũŋdjʊ	latɪfʊndɪʊm
latitare	-	-	latitare	-	-	latɪtarɛ
latituʤne	-	latityd	latitudine	latitud	lɐtitudɨ	latɪtudɪnɛm
lətra	lətra	ladʁ	latrare	laðɾaɾ	lɐdɹaɹ	latronɛm
lat	lat	le	lato	laðo	ladʊ	latʊm
laʊðɐzɐʊ	-	-	-	-	laʊdɐsɐ̃ʊ̃	laʊdatɪonɛm
lodatore	ləudətor	-	lodatore	-	-	laʊdatorɛm
loreato	-	loʁea	laureato	-	-	laʊrɛatʊm
laʊɾoθeɾaso	-	-	laurotʃerazo	laʊɾoθeɾaso	-	laʊrɔkɛrasʊm
loro	laur	-	lauro	laʊɾel	luwɾeɪɾʊ	laʊrʊm
lode	laudə	los	lɔde	laʊðe	laʊdɐ	laʊdɛm
latomia	-	-	latomia	-	-	laʊtʊmɪam
lavatsione	-	-	lavatsione	laβaθjon	lɐvɐsɐ̃ʊ̃	lawatɪonɛm
lavatojo	-	lavwaʁ	lavatojo	laβatoɾjo	lɐvɐtɔɾjʊ	lawatorɪʊm
lave	-	lave	-	-	-	lawɛrɛm
las	laks	laʃ	lasso	laxa	-	laksʊm
lettiɣə	lektikə	-	lettiɡa	letʃiɣa	-	lɛktikam
leððœʁ	lektor	lɛktœʁ	lettore	lektoɾ	leɪtoɹ	lektorɛm
lideɪɾɐ	-	litjɛʁ	-	-	liteɪɾɐ	lɛktʊarɪʊm
letto	-	li	lɛtto	letʃo	leɪtʊ	lektʊm
ledʊ	-	-	-	-	ledʊ	lɛdonɛm
leal	leal	leɡal	leale	leal	liɑl	leɡalɛm
leɡa	-	leɡa	leɡato	-	leɡadʊ	leɡatʊm
leðʒʒere	-	liʁ	lɛdʒʒere	leeɾ	leɹ	lɛɡɛrɛ
leɡulɛio	-	-	leɡulɛio	-	leɡuleʒʊ	leɡʊlejʊm
lɛmma	-	lɛm	lɛmma	lema	-	lɛmma
lɛn	lin	-	lɛne	lene	-	lenɛm
leniðad	-	-	-	leniðad	-	lenɪtatɛm
lent	lent	lɑ̃	lɛnto	lɛnto	leɪŋtʊ	lɛntʊm
leonato	-	-	leonato	-	-	lɛonatʊm
leobardo	leopard	leopaʁ	leopardo	leopaɾðo	-	lɛɔpardʊm
lebbra	-	-	lebbra	lepɾa	lɛpɹɐ	lɛpram
leprozo	-	-	leprozo	lepɾoso	-	lɛprosʊm
leviʒe	-	leviʒe	leviɡare	leβiɣaɾ	-	lɛwɪɡarɛ
ledʒʒe	ledʒe	lwa	ledʒʒe	leɪ	leɪ	leɡɛm
nivo	nivel	nivo	livɛllo	niβel	nivɛl	libɛllam
libelulə	libelulə	libɛlyl	libɛllula	liβelula	libɛlulɐ	libɛllʊlam
liβel	-	libɛl	-	liβelo	libɛlʊ	lɪbɛllʊm
liber	liber	livʁ	libro	liβɾo	livɹʊ	libɛrʊm
liberalita	-	libeʁalite	liberalita	liβeɾaliðad	libɨɾɐlidadɨ	libɛralɪtatɛm
libeɾatsje	libeɾatsje	libeʁasjɔ̃	liberatsione	liβeɾaθjon	livɹɐsɐ̃ʊ̃	libɛratɪonɛm
liberatore	-	libeʁatœʁ	liberatore	liβɾaðoɾ	livɹɐdoɹ	libɛratorɛm
liβiðo	-	libido	libido	liβiðo	-	lɪbidɪnɛm
libare	-	-	libare	liβaɾ	-	libarɛ
liβʁeʁ	librar	libʁɛʁ	libraio	liβɾeɾo	livɹeɪɾʊ	lɪbrarɪʊm
liβʁasjo	-	libʁasjɔ̃	-	liβɾaθjon	-	libratɪonɛm
lɐzeɹ	-	lwaziʁ	-	-	lɐzeɹ	lɪkerɛ
liʃɛn	-	liʃɛn	-	liken	likeɪŋ	likʰena
littor	-	liktœʁ	littore	liktoɾ	-	liktorɛm
ljɛ	-	ljɛ̃	-	-	-	lɪenɛm
ljɛ	-	ljɛ̃	leɡame	-	-	lɪɡamɛn
leɡəmɨnt	leɡəmɨnt	liɡamɑ̃	leɡamento	liɣamɛnto	liɡɐmeɪŋtʊ	lɪɡamɛntʊm
liɡatsione	-	ljɛzɔ̃	liɡatsione	liɣaθjon	liɡɐsɐ̃ʊ̃	lɪɡatɪonɛm
leɲeɪɾʊ	lemnar	lɛnje	-	leɲeɾo	leɲeɪɾʊ	lɪŋnarɪʊm
leɲaðoɾ	-	-	-	leɲaðoɾ	leɲɐdoɹ	lɪŋnatorɛm
liɲeo	-	-	liɲeo	-	-	lɪŋnɛʊm
lɨɲaɹ	-	-	-	leɲaɾ	lɨɲaɹ	lɪŋnari
liɡdro	-	-	liɡustro	-	-	lɪɡʊstrʊm
lim	-	lim	lima	lima	limɐ	limam
leʒmɐ	-	limas	limatʃʃa	limaθa	leʒmɐ	limakɛm
limine	-	-	limine	limen	-	limɛn
limitare	-	-	limitare	lindaɾ	liŋdaɹ	limɪtarɛ
limitrofo	-	-	limitrofo	limitɾofe	limitɹufɨ	limɪtrɔpʰʊm
ima	ima	lime	limare	limaɾ	limaɹ	limarɛ
limoso	imos	-	limozo	limoso	limozʊ	limosʊm
limpido	limpede	lɛ̃pid	limpido	limpjo	limpʊ	lɪmpɪdʊm
im	im	-	limo	limo	limʊ	limʊm
inar	inar	-	-	lineɾo	liɲeɪɾʊ	linarɪʊm
liɲ	linje	liɲ	linea	linea	liɲɐ	linɛam
lineam	-	lineam	-	lineamɛnto	-	linɛamɛntʊm
linear	-	-	lineare	lineaɾ	-	linɛarɛ
lɛʒ	-	lɛ̃ʒ	lino	lineo	liniʊ	linɛʊm
liŋðʒe	liŋdʒe	-	-	-	-	lɪŋɡɛrɛ
liŋɡula	liŋɡuɾə	-	liŋɡula	-	-	lɪŋɡʊlam
luntre	luntre	-	-	-	-	lɪntrɛm
liɛnθo	-	-	-	liɛnθo	-	lɪntɛʊm
likwame	-	-	likwame	-	-	lɪkwamɛn
lide	-	-	lite	lid	lidɨ	litɛm
liʤɣaɾ	-	-	litiɡare	litiɣaɾ	litiɡaɹ	litɪɡarɛ
litaɾ	-	-	-	litaɾ	litaɹ	lɪtarɛ
lideɾə	liteɾə	lɛtʁ	lɛttera	letɾa	letɹɐ	lɪttɛram
liturðʒia	-	lityʁʒi	liturdʒia	lituɾxja	lituɾəʒiɐ	liturɡɪam
liβoɾ	-	-	-	liβoɾ	-	liworɛm
lokal	lokal	lokal	lokale	luɣaɾ	luɡaɹ	lɔkalɛm
lwaje	-	lwaje	-	-	-	lɔkarɪʊm
lokatsje	lokatsje	lokasjɔ̃	lokatsione	lokaθjon	lukɐsɐ̃ʊ̃	lɔkatɪonɛm
luθiʎo	-	-	lotʃɛllo	luθiʎo	-	lɔkɛllʊm
lwe	-	lwe	lokare	loɣaɾ	-	lɔkarɛ
loɣulʊ	-	-	-	-	lɔkulʊ	lɔkʊlʊm
lokutsione	-	lokysjɔ̃	lokutsione	-	-	lɔkutɪonɛm
lokyðœʁ	-	lokytœʁ	-	lokutoɾ	lukutoɹ	lɔkutorɛm
ledʒʒio	-	-	ledʒʒio	-	-	lɔɡeʊm
loɡomakia	-	-	loɡomakia	-	-	lɔɡɔmakʰɪam
lulɐ	-	-	-	-	lulɐ	loliɡɪnɛm
lɔʎo	-	-	lɔʎo	xojo	ʒoɪʊ	lɔlɪʊm
londʒevo	-	-	londʒɛvo	loŋxeβo	luŋʒɛvʊ	lɔŋɡaɪwʊm
loŋɡanimita	-	lɔ̃ɡanimite	loŋɡanimita	loŋɡanimiðad	luŋɡɐnimidadɨ	lɔŋɡanɪmɪtatɛm
luŋʒiŋkidadɨ	-	-	londʒinkwita	loŋxinkiðad	luŋʒiŋkidadɨ	lɔŋɡɪŋkwɪtatɛm
londʒiduʤne	-	lɔ̃ʒityd	londʒitudine	-	luŋʒitudɨ	lɔŋɡɪtudɪnɛm
loɣwaθiðað	-	-	-	lokwaθiðad	-	lɔkwakɪtatɛm
lokwaðʃe	lokvatʃe	lokas	lokwatʃe	lokwaθ	lukwaʃ	lɔkwakɛm
